ES,red,0,35.4,0
ES,red,0,24.7,0
ES,red,0,19.7,0
ES,red,0,20.4,0
ES,red,0,13.7,0
ES,red,45,0.1,0.1
ES,red,90,0,0.1
ES,red,0,100.0,0
ES,red,45,100.0,100.0
ES,red,90,0,100.0
ES,red,0,14.5,0
ES,red,45,0.1,0.1
ES,red,90,0,0.1
ES,red,90,0,34.6
ES,red,90,0,19.4
ES,red,90,0,16.4
ES,red,90,0,19.5
ES,red,90,0,10.9
ES,red,0,10.9,0
ES,red,45,0.1,0.1
ES,red,90,0,0.1
ES,red,0,100.0,0
ES,red,45,100.0,100.0
ES,red,90,0,100.0
ES,red,0,10.1,0
ES,red,45,0.1,0.1
ES,red,90,0,0.1
ES,red,0,6.0,0
ES,red,45,0.1,0.1
ES,red,90,0,0.1
ES,red,0,10.7,0
ES,red,45,0.1,0.1
ES,red,90,0,0.1
ES,red,0,15.9,0
ES,red,45,0.1,0.1
ES,red,90,0,0.1
ES,red,0,42.0,0
ES,red,45,0.1,0.1
ES,red,90,0,0.1
